ID;Photo;Name;Reference;Category;Base price;Final price;Quantity;Status;	
2363;http://172.16.220.164/bookstore/img/p/0.jpg;ANTOLOGIA LITERARIA 1;9789993487326;Grade-9;565.000000;495.79;0;1;	
2424;http://172.16.220.164/bookstore/img/p/0.jpg;EXPERIMENTOS DE BIOLOGIA 1 (1RO BACH) SERIE CORAL;9789945114324;Grade-9;285.000000;250.09;0;1;	
279;http://172.16.220.164/bookstore/img/p/0.jpg;ANTOLOGIA DEL CUENTO LATINOAMERICANO;7467634945641;Grade-0;1500.000000;1687.5;10;1;	
517;http://172.16.220.164/bookstore/img/p/0.jpg;FISICA MODERNA NO. 2;9789945122428;Grade-0;1500.000000;1687.5;10;1;	
689;http://172.16.220.164/bookstore/img/p/0.jpg;MIS FABULAS FAVORITAS RD;7467634946020;Grade-0;1500.000000;1687.5;10;1;	
343;http://172.16.220.164/bookstore/img/p/0.jpg;CIVICA NO. 8 (ED. BASICA);9789945123142;Grade-0;1500.000000;1687.5;10;1;	
2206;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE ENTRE AMIGOS 3 - 3ER. TRIMESTRE;9789945190366;Grade-3;500.000000;438.75;10;1;	
2267;http://172.16.220.164/bookstore/img/p/0.jpg;NATURALEZA 2 TODOS JUNTOS;9789945119299;Grade-2;1.045000;0.92;0;1;	
2331;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION ARTISTICA 3 SERIE CORAL;9789945115765;Grade-3;605.000000;530.89;0;1;	
2392;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION CIVICA 1 MEDIA  SERIE INNOVA;9789945118438;Grade-9;785.000000;688.84;0;1;	
2456;http://172.16.220.164/bookstore/img/p/0.jpg;ATLAS HISTORICO DE LA REP. DOM. Y DEL MUNDO;9789945114645;Grade-12;1.150000;1.01;0;1;	
460;http://172.16.220.164/bookstore/img/p/0.jpg;ENCUENTRO CON JESUS NO. 4;9789945121117;Grade-0;1500.000000;1687.5;10;1;	
314;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA Y ORTOGRAFIA ABC NO. 6;7467634943531;Grade-0;1500.000000;1687.5;10;1;	
608;http://172.16.220.164/bookstore/img/p/0.jpg;MARIA;9789945120479;Grade-0;1500.000000;1687.5;10;1;	
818;http://172.16.220.164/bookstore/img/p/0.jpg;TALLER DE ORTOGRAFIA NO. 4;7467634941698;Grade-0;1500.000000;1687.5;10;1;	
403;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION ARTISTICA PARA LA VIDA NO. 4;9789945122565;Grade-0;1500.000000;1687.5;10;1;	
2241;http://172.16.220.164/bookstore/img/p/0.jpg;LA MAGIA DE LAS LETRAS;9788482611945;Grade-3;415.000000;364.16;0;1;	
2366;http://172.16.220.164/bookstore/img/p/0.jpg;ANTOLOGIA LITERARIA 4;9789993487357;Grade-12;565.000000;495.79;0;1;	
2427;http://172.16.220.164/bookstore/img/p/0.jpg;EXPERIMENTOS DE QUIMICA 1 (1RO BACH) SERIE CORAL;9789945114492;Grade-9;285.000000;250.09;0;1;	
282;http://172.16.220.164/bookstore/img/p/0.jpg;APRENDO A ESCRIBIR CON MARIA Y MANUEL;9789945122145;Grade-0;1500.000000;1687.5;10;1;	
523;http://172.16.220.164/bookstore/img/p/0.jpg;FORJADORES DE LA PATRIA;9789945121971;Grade-0;1500.000000;1687.5;10;1;	
698;http://172.16.220.164/bookstore/img/p/0.jpg;MOTIVES! 2 - 6 GRADO CUADERNO DE TRABAJO;9789945122619;Grade-0;1500.000000;1687.5;10;1;	
346;http://172.16.220.164/bookstore/img/p/0.jpg;COLOR NO. 2;7467634943838;Grade-0;1500.000000;1687.5;10;1;	
2209;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE ENTRE AMIGOS 4 - 3ER. TRIMESTRE;9789945190397;Grade-5;500.000000;438.75;10;1;	
2270;http://172.16.220.164/bookstore/img/p/0.jpg;EXPERIMENTOS NATURALEZA 8 SERIE INNOVA;9789945117998;Grade-8;415.000000;364.16;0;1;	
2334;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION ARTISTICA 6 SERIE CORAL;9789945115796;Grade-6;605.000000;530.89;0;1;	
2395;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION CIVICA 4 MEDIA  SERIE INNOVA;9789945118469;Grade-12;785.000000;688.84;0;1;	
2459;http://172.16.220.164/bookstore/img/p/0.jpg;ALGEBRA;9788429461251;Grade-12;1.625000;1.43;0;1;	
2462;http://172.16.220.164/bookstore/img/p/0.jpg;QUIMICA ORGANICA;9788429475326;Grade-11;1.625000;1.43;0;1;	
466;http://172.16.220.164/bookstore/img/p/0.jpg;ENCUENTRO CON JESUS NO. 7;9789945121148;Grade-0;1500.000000;1687.5;10;1;	
317;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA ORTOGRAFIA Y REDACCION NO. 1;9789945122824;Grade-0;1500.000000;1687.5;10;1;	
617;http://172.16.220.164/bookstore/img/p/0.jpg;MATEMATICA APLICADA NO. 03;9789945122480;Grade-0;1500.000000;1687.5;10;1;	
830;http://172.16.220.164/bookstore/img/p/0.jpg;TALLER DE ORTOGRAFIA NO. 7;7467634941728;Grade-0;1500.000000;1687.5;10;1;	
2244;http://172.16.220.164/bookstore/img/p/0.jpg;ORTOGRAFIA 1 SERIE INNOVA;9789945117387;Grade-1;490.000000;429.98;0;1;	
2369;http://172.16.220.164/bookstore/img/p/0.jpg;MATEMATICAS 2 (2DO. BACH.)  SERIE INNOVA;9789945118360;Grade-10;1.100000;0.97;0;1;	
2430;http://172.16.220.164/bookstore/img/p/0.jpg;EXPERIMENTOS DE FISICA 1 (2DO BACH) SERIE CORAL;9789945114249;Grade-9;285.000000;250.09;0;1;	
285;http://172.16.220.164/bookstore/img/p/0.jpg;ARCOIRIS NO. 01;9789945122435;Grade-0;1500.000000;1687.5;10;1;	
529;http://172.16.220.164/bookstore/img/p/0.jpg;FRANCES NO. 6 CUADERNO (C'ESTPARTI!);7467634947454;Grade-0;1500.000000;1687.5;10;1;	
707;http://172.16.220.164/bookstore/img/p/0.jpg;MOTIVES! 3 - 7 GRADO LIBRO DEL ALUMNO;9789945122527;Grade-0;1500.000000;1687.5;10;1;	
349;http://172.16.220.164/bookstore/img/p/0.jpg;CONVIVIR NO. 1;7467634944163;Grade-0;1500.000000;1687.5;10;1;	
2212;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE ENTRE AMIGOS 5 - 3ER. TRIMESTRE;9789945190427;Grade-5;500.000000;438.75;10;1;	
2337;http://172.16.220.164/bookstore/img/p/0.jpg;PRUEBAS NACIONALES 8;9789993484127;Grade-8;535.000000;469.46;0;1;	
2398;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION CIVICA 3 MEDIA SERIE CORAL;9789945114621;Grade-11;785.000000;688.84;0;1;	
2401;http://172.16.220.164/bookstore/img/p/0.jpg;BIOLOGIA 2 (2DO. BACH.)  SERIE INNOVA;9789945118506;Grade-10;940.000000;824.85;0;1;	
2465;http://172.16.220.164/bookstore/img/p/0.jpg;BIOLOGIA II;9788429473094;Grade-10;1.625000;1.43;0;1;	
472;http://172.16.220.164/bookstore/img/p/0.jpg;ESTUDIOS SOCIALES NO. 1 (SERIE QUISQUEYA);9789945122909;Grade-0;1500.000000;1687.5;10;1;	
320;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA ORTOGRAFIA Y REDACCION NO. 4;9789945122855;Grade-0;1500.000000;1687.5;10;1;	
